"muni_code","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15"
6020,0,0,0,0,0,0,0,0
6021,0,1,1,0,0,1,1,0
6022,1,0,0,0,1,0,0,0
6023,1,1,0,0,1,1,0,0
6024,1,1,0,0,1,1,0,0
6025,1,0,0,0,1,0,0,0
6026,1,1,0,0,1,1,0,0
6027,0,0,0,0,0,0,0,0
6028,1,1,0,0,1,1,0,0
6029,1,1,0,0,1,1,0,0
6030,0,0,0,0,0,0,0,0
6031,0,0,0,0,0,0,0,0
6032,0,0,0,0,0,0,0,0
6033,0,0,0,0,0,0,0,0
6034,1,1,0,0,1,1,0,0
6035,0,0,0,0,0,0,0,0
6036,1,1,0,0,1,1,0,0
6037,1,1,0,0,1,1,0,0
6038,1,1,0,0,0,0,0,0
6039,1,1,0,0,1,1,0,0
6040,1,1,0,0,1,1,0,0
6041,1,1,0,0,1,1,0,0
6042,0,0,0,0,0,0,0,0
6043,1,1,0,0,1,1,0,0
6044,1,1,0,0,1,1,0,0
6045,1,1,0,0,1,1,0,0
6046,1,1,0,0,1,1,0,0
6047,0,0,0,0,0,0,0,0
6048,0,0,0,0,0,0,0,0
6049,1,0,0,0,1,0,0,0
6050,0,0,0,0,0,0,0,0
6051,1,1,0,0,1,1,0,0
6052,0,0,0,0,0,0,0,0
6053,1,1,0,0,1,1,0,0
6054,0,0,0,0,0,0,0,0
6055,1,1,0,0,1,1,0,0
6056,1,1,0,0,1,1,0,0
6057,0,0,0,0,0,0,0,0
6058,1,0,0,0,1,0,0,0
6059,1,0,0,0,1,0,0,0
6060,1,1,0,0,1,1,0,0
6061,1,1,0,0,1,1,0,0
6062,1,0,0,0,1,0,0,0
6063,1,1,0,0,1,1,0,0
6064,1,1,0,0,1,1,0,0
6065,0,0,0,0,0,0,0,0
6066,1,1,0,0,1,1,0,0
6067,1,1,0,0,1,1,0,0
6068,1,1,0,0,1,1,0,0
6069,1,1,0,0,1,1,0,0
6070,1,1,0,0,1,1,0,0
6071,1,1,0,0,1,1,0,0
6072,0,0,0,0,0,0,0,0
6073,1,1,0,0,1,1,0,0
6074,1,1,0,0,1,1,0,0
6075,1,1,0,0,1,1,0,0
6076,0,0,0,0,0,0,0,0
6077,1,1,0,0,1,1,0,0
6078,0,0,0,0,0,0,0,0
6079,1,1,0,0,1,1,0,0
6080,0,1,1,0,0,1,1,0
